﻿Title:,"Table 2 - HE staff by HE provider and personal characteristics"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT025 Table 2
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (excluding atypical) 
,Terms of employment,All 
,Contract levels,All 
,Atypical marker,Non-atypical 
,Academic year,2019/20 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total"
"10007783","The University of Aberdeen","1,950","1,435","0","3,390"
"10007849","Abertay University","250","230","0","480"
"10007856","Aberystwyth University","985","885","0","1,870"
"10067853","ACM Guildford Limited*","","","",""
"10000163","AECC University College*","","","",""
"10032036","Amity Global Education*","","","",""
"10000291","Anglia Ruskin University","1,095","695","0","1,790"
"10005451","Arden University*","","","",""
"10007759","Aston University","1,010","925","0","1,935"
"10007857","Bangor University","1,185","820","5","2,010"
"10000571","Bath Spa University","630","465","5","1,095"
"10007850","The University of Bath","1,870","1,840","0","3,705"
"10007152","University of Bedfordshire","735","400","0","1,135"
"10005343","Queen's University Belfast","2,355","2,015","0","4,365"
"10037544","BIMM University*","","","",""
"10007760","Birkbeck College","920","760","75","1,755"
"10007140","Birmingham City University*","","","",""
"10006840","The University of Birmingham*","","","",""
"10000712","University College Birmingham","400","230","0","625"
"10007811","Bishop Grosseteste University","215","105","0","320"
"10006841","The University of Bolton*","","","",""
"10000385","The Arts University Bournemouth","325","250","0","575"
"10000824","Bournemouth University","1,025","825","5","1,855"
"10007785","The University of Bradford","780","605","0","1,385"
"10000886","The University of Brighton","1,860","1,310","5","3,180"
"10000936","The University College of Osteopathy*","","","",""
"10007786","The University of Bristol","4,225","3,385","0","7,615"
"10000961","Brunel University London","1,255","1,200","0","2,455"
"10000975","Buckinghamshire New University*","","","",""
"10007787","The University of Buckingham*","","","",""
"10007788","The University of Cambridge","6,435","5,860","15","12,310"
"10003324","The Institute of Cancer Research","650","465","0","1,110"
"10001143","Canterbury Christ Church University","1,090","675","0","1,765"
"10007814","Cardiff University","3,830","3,070","0","6,900"
"10007854","Cardiff Metropolitan University","855","615","0","1,470"
"10007141","The University of Central Lancashire","1,975","1,385","0","3,355"
"10007848","University of Chester","1,115","670","10","1,795"
"10007137","The University of Chichester*","","","",""
"10001386","Chicken Shed Theatre Company*","","","",""
"10001478","City, University of London","1,855","1,815","5","3,675"
"10007912","Cliff College*","","","",""
"10001653","Conservatoire for Dance and Drama*","","","",""
"10007761","Courtauld Institute of Art*","","","",""
"10034324","Court Theatre Training Company Ltd*","","","",""
"10001726","Coventry University","2,675","2,190","10","4,870"
"10007822","Cranfield University*","","","",""
"10006427","University for the Creative Arts*","","","",""
"10007842","University of Cumbria","650","360","0","1,010"
"10001883","De Montfort University","1,770","1,455","0","3,225"
"10007851","University of Derby","1,690","1,175","0","2,870"
"10007852","The University of Dundee","1,900","1,395","0","3,295"
"10007143","University of Durham","2,475","1,980","0","4,460"
"10007789","The University of East Anglia","2,410","1,895","0","4,305"
"10007144","The University of East London","885","775","0","1,655"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","","","",""
"10007823","Edge Hill University","1,305","720","0","2,025"
"10007772","Edinburgh Napier University","965","780","0","1,745"
"10007790","The University of Edinburgh","8,090","7,020","5","15,110"
"10007791","The University of Essex","1,685","1,335","5","3,025"
"10008173","University College of Estate Management*","","","",""
"10007792","The University of Exeter","3,280","2,700","5","5,990"
"10008640","Falmouth University*","","","",""
"10004511","The National Film and Television School*","","","",""
"10022087","Futureworks*","","","",""
"10007762","Glasgow Caledonian University","965","585","0","1,550"
"10002681","Glasgow School of Art","285","230","0","515"
"10007794","The University of Glasgow","4,720","3,860","0","8,580"
"10007145","University of Gloucestershire*","","","",""
"10007833","Glyndŵr University","285","185","0","465"
"10002718","Goldsmiths College","1,175","930","5","2,115"
"10007146","The University of Greenwich","935","770","0","1,705"
"10007825","Guildhall School of Music and Drama","405","480","0","885"
"10040812","Harper Adams University*","","","",""
"10080811","Hartpury University","260","170","0","430"
"10007764","Heriot-Watt University","960","1,075","0","2,035"
"10007147","University of Hertfordshire","1,870","1,470","0","3,345"
"10007148","The University of Huddersfield*","","","",""
"10007149","The University of Hull","1,240","945","5","2,190"
"10003270","Imperial College London","3,955","4,645","15","8,615"
"10035638","Institute of Contemporary Music Performance*","","","",""
"10007767","Keele University","1,230","780","0","2,010"
"10007150","The University of Kent","1,995","1,590","5","3,590"
"10003645","King's College London","5,135","4,130","290","9,550"
"10003678","Kingston University","1,030","760","0","1,790"
"10003758","LAMDA Limited","70","45","0","120"
"10007768","The University of Lancaster","2,165","1,950","0","4,115"
"10003854","Leeds Arts University","175","120","0","295"
"10003861","Leeds Beckett University","1,475","1,240","0","2,715"
"10034449","Leeds Conservatoire","135","230","0","365"
"10007795","The University of Leeds","4,695","3,960","5","8,655"
"10003863","Leeds Trinity University","255","175","0","425"
"10007796","The University of Leicester","2,075","1,805","5","3,890"
"10007151","The University of Lincoln","1,230","1,035","0","2,260"
"10003956","Liverpool Hope University*","","","",""
"10003957","Liverpool John Moores University","1,570","1,345","5","2,920"
"10003945","The Liverpool Institute for Performing Arts*","","","",""
"10006842","The University of Liverpool","3,725","3,010","0","6,735"
"10003958","Liverpool School of Tropical Medicine","345","210","0","555"
"10007162","University of the Arts, London","2,240","1,605","0","3,845"
"10013109","London Bridge Business Academy*","","","",""
"10007769","London Business School*","","","",""
"10007797","University of London (Institutes and activities)*","","","",""
"10004036","London Film School Limited*","","","",""
"10004048","London Metropolitan University","450","425","0","875"
"10004078","London South Bank University*","","","",""
"10004063","London School of Economics and Political Science","2,345","2,015","0","4,360"
"10007771","London School of Hygiene and Tropical Medicine","1,000","640","0","1,640"
"10022285","London School of Management Education*","","","",""
"10004075","London School of Theology*","","","",""
"10008289","The London Institute of Banking & Finance*","","","",""
"10004113","Loughborough University","2,020","1,875","0","3,900"
"10009612","Luther King House Educational Trust*","","","",""
"10004180","The Manchester Metropolitan University","2,635","2,170","0","4,805"
"10007798","The University of Manchester","5,630","5,580","0","11,210"
"10030776","St Mellitus College*","","","",""
"10004320","The Metanoia Institute*","","","",""
"10004351","Middlesex University","1,005","775","0","1,780"
"10023777","Mont Rose College of Management and Sciences*","","","",""
"10023454","Moorlands College*","","","",""
"10004538","Nazarene Theological College*","","","",""
"10030129","Nelson College London Ltd","0","10","0","10"
"10007799","Newcastle University","3,560","2,980","0","6,540"
"10048199","New College of the Humanities*","","","",""
"10007832","Newman University","205","125","0","335"
"10007138","The University of Northampton","895","550","0","1,445"
"10001282","University of Northumbria at Newcastle","1,625","1,350","0","2,975"
"10004775","Norwich University of the Arts*","","","",""
"10007154","University of Nottingham*","","","",""
"10004797","The Nottingham Trent University*","","","",""
"10007773","The Open University*","","","",""
"10004930","Oxford Brookes University","1,540","1,090","0","2,630"
"10007774","The University of Oxford","7,530","6,840","15","14,385"
"10042570","Pearson College*","","","",""
"10005127","Arts University Plymouth*","","","",""
"10007801","University of Plymouth","1,600","1,155","0","2,755"
"10007155","The University of Portsmouth","2,210","1,770","5","3,985"
"10005337","Queen Margaret University, Edinburgh","300","160","0","460"
"10007775","Queen Mary University of London","2,980","2,805","0","5,785"
"10009292","Royal Academy of Dramatic Art*","","","",""
"10005389","Ravensbourne University London","190","190","0","380"
"10007802","The University of Reading","2,365","1,750","5","4,120"
"10005500","Robert Gordon University","815","545","0","1,360"
"10007776","Roehampton University","645","430","5","1,075"
"10005523","Rose Bruford College of Theatre and Performance*","","","",""
"10007835","Royal Academy of Music*","","","",""
"10005545","Royal Agricultural University*","","","",""
