﻿Title:,"Table 2 - HE staff by HE provider and personal characteristics"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT025 Table 2
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (excluding atypical) 
,Terms of employment,All 
,Contract levels,All 
,Atypical marker,Non-atypical 
,Academic year,2021/22 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total"
"10007783","The University of Aberdeen","1,985","1,465","0","3,445"
"10007849","Abertay University","250","220","0","470"
"10007856","Aberystwyth University","960","840","0","1,800"
"10067853","ACM Guildford Limited*","","","",""
"10000163","AECC University College*","","","",""
"10032036","Amity Global Education*","","","",""
"10000291","Anglia Ruskin University","1,240","765","0","2,005"
"10005451","Arden University*","","","",""
"10007759","Aston University","1,030","930","0","1,960"
"10038772","British Academy of Jewellery Limited*","","","",""
"10007857","Bangor University","1,110","750","5","1,865"
"10000571","Bath Spa University","685","495","10","1,185"
"10007850","The University of Bath","1,810","1,760","10","3,575"
"10036456","Backstage Academy (Training) Ltd*","","","",""
"10007152","University of Bedfordshire","780","405","0","1,185"
"10005343","Queen's University Belfast","2,350","1,970","5","4,325"
"10037544","BIMM University*","","","",""
"10007760","Birkbeck College","915","795","55","1,765"
"10007140","Birmingham City University*","","","",""
"10006840","The University of Birmingham*","","","",""
"10000712","University College Birmingham","340","185","0","525"
"10007811","Bishop Grosseteste University","230","120","0","350"
"10004061","Bloomsbury Institute*","","","",""
"10006841","The University of Bolton*","","","",""
"10000385","The Arts University Bournemouth","335","255","0","590"
"10000824","Bournemouth University","1,010","795","5","1,810"
"10007785","The University of Bradford","815","620","0","1,435"
"10000886","The University of Brighton","1,725","1,235","15","2,970"
"10000936","The University College of Osteopathy*","","","",""
"10007786","The University of Bristol","4,670","3,615","0","8,285"
"10000961","Brunel University London","1,360","1,230","0","2,590"
"10000975","Buckinghamshire New University*","","","",""
"10007788","The University of Cambridge","6,585","5,865","15","12,465"
"10003324","The Institute of Cancer Research","670","465","0","1,135"
"10001143","Canterbury Christ Church University","1,080","685","5","1,765"
"10007814","Cardiff University","3,855","3,080","0","6,935"
"10007854","Cardiff Metropolitan University","945","680","0","1,625"
"10007141","The University of Central Lancashire","1,920","1,350","0","3,275"
"10024024","Central Film School London*","","","",""
"10007848","University of Chester","1,070","625","10","1,705"
"10007137","The University of Chichester*","","","",""
"10001386","Chicken Shed Theatre Company*","","","",""
"10001478","City, University of London","1,580","1,450","5","3,035"
"10007912","Cliff College*","","","",""
"10066502","The College of Health Ltd*","","","",""
"10001653","Conservatoire for Dance and Drama*","","","",""
"10007761","Courtauld Institute of Art*","","","",""
"10034324","Court Theatre Training Company Ltd*","","","",""
"10001726","Coventry University","2,755","2,135","10","4,900"
"10007822","Cranfield University","790","930","0","1,720"
"10006427","University for the Creative Arts*","","","",""
"10007842","University of Cumbria","685","360","0","1,045"
"10001883","De Montfort University","1,840","1,440","0","3,280"
"10007851","University of Derby","1,490","1,025","15","2,530"
"10007852","The University of Dundee","1,835","1,360","0","3,190"
"10007143","University of Durham","2,775","2,260","0","5,035"
"10007789","The University of East Anglia","2,320","1,790","0","4,110"
"10007144","The University of East London","950","785","5","1,740"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","","","",""
"10007823","Edge Hill University*","","","",""
"10007772","Edinburgh Napier University","1,010","855","5","1,870"
"10007790","The University of Edinburgh","8,250","7,010","85","15,345"
"10007791","The University of Essex","1,710","1,355","0","3,065"
"10008173","University College of Estate Management*","","","",""
"10007792","The University of Exeter","3,720","2,960","10","6,695"
"10008640","Falmouth University*","","","",""
"10004511","The National Film and Television School*","","","",""
"10022087","Futureworks*","","","",""
"10007762","Glasgow Caledonian University","1,005","605","0","1,610"
"10002681","Glasgow School of Art","325","245","0","570"
"10007794","The University of Glasgow","5,265","4,520","0","9,785"
"10007145","University of Gloucestershire*","","","",""
"10007833","Glyndŵr University","310","190","0","500"
"10002718","Goldsmiths College","1,165","880","15","2,060"
"10007146","The University of Greenwich","1,055","820","0","1,875"
"10007825","Guildhall School of Music and Drama","425","510","0","935"
"10040812","Harper Adams University*","","","",""
"10080811","Hartpury University","290","195","0","485"
"10007764","Heriot-Watt University","960","1,095","0","2,060"
"10007147","University of Hertfordshire","1,920","1,520","0","3,445"
"10007148","The University of Huddersfield*","","","",""
"10007149","The University of Hull","1,125","860","5","1,990"
"10003239","ICON College of Technology and Management*","","","",""
"10003270","Imperial College London","3,995","4,535","25","8,555"
"10013220","Institute of Art - London Limited*","","","",""
"10035638","Institute of Contemporary Music Performance*","","","",""
"10082570","Kaplan International Colleges U.K. Limited","230","185","0","415"
"10021682","Kaplan Open Learning*","","","",""
"10007767","Keele University","1,245","765","5","2,010"
