﻿Title:,"Table 2 - HE staff by HE provider and personal characteristics"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT025 Table 2
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (excluding atypical) 
,Terms of employment,All 
,Contract levels,All 
,Atypical marker,Non-atypical 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total"
"10007783","The University of Aberdeen","1,865","1,415","0","3,280"
"10007849","Abertay University","245","225","0","470"
"10007856","Aberystwyth University","980","855","0","1,830"
"10067853","ACM Guildford Limited*","","","",""
"10000163","AECC University College*","","","",""
"10032036","Amity Global Education*","","","",""
"10000291","Anglia Ruskin University","1,105","700","0","1,805"
"10005451","Arden University*","","","",""
"10007759","Aston University","1,010","930","0","1,940"
"10038772","British Academy of Jewellery Limited*","","","",""
"10007857","Bangor University","1,175","800","5","1,980"
"10000571","Bath Spa University","660","495","5","1,165"
"10007850","The University of Bath","1,800","1,835","5","3,645"
"10036456","Backstage Academy (Training) Ltd*","","","",""
"10007152","University of Bedfordshire","770","405","0","1,175"
"10005343","Queen's University Belfast","2,355","1,985","5","4,345"
"10037544","BIMM University*","","","",""
"10007760","Birkbeck College","935","800","75","1,810"
"10007140","Birmingham City University*","","","",""
"10006840","The University of Birmingham*","","","",""
"10000712","University College Birmingham","365","210","0","575"
"10007811","Bishop Grosseteste University","220","110","0","330"
"10004061","Bloomsbury Institute*","","","",""
"10006841","The University of Bolton*","","","",""
"10000385","The Arts University Bournemouth","305","240","0","545"
"10000824","Bournemouth University","1,010","810","5","1,825"
"10007785","The University of Bradford","795","625","0","1,425"
"10000886","The University of Brighton","1,685","1,215","15","2,915"
"10000936","The University College of Osteopathy*","","","",""
"10007786","The University of Bristol","4,315","3,390","0","7,705"
"10000961","Brunel University London","1,225","1,165","0","2,385"
"10000975","Buckinghamshire New University*","","","",""
"10007788","The University of Cambridge","6,505","5,865","15","12,385"
"10003324","The Institute of Cancer Research","670","475","0","1,140"
"10001143","Canterbury Christ Church University","1,080","660","0","1,745"
"10007814","Cardiff University","3,835","3,080","0","6,915"
"10007854","Cardiff Metropolitan University","860","640","0","1,500"
"10007141","The University of Central Lancashire","1,860","1,290","0","3,150"
"10024024","Central Film School London*","","","",""
"10007848","University of Chester","1,100","650","10","1,765"
"10007137","The University of Chichester*","","","",""
"10001386","Chicken Shed Theatre Company*","","","",""
"10001478","City, University of London","1,955","1,880","5","3,840"
"10007912","Cliff College*","","","",""
"10066502","The College of Health Ltd*","","","",""
"10001653","Conservatoire for Dance and Drama*","","","",""
"10007761","Courtauld Institute of Art*","","","",""
"10034324","Court Theatre Training Company Ltd*","","","",""
"10001726","Coventry University","2,715","2,195","10","4,920"
"10007822","Cranfield University","730","885","0","1,610"
"10006427","University for the Creative Arts*","","","",""
"10007842","University of Cumbria","660","345","0","1,000"
"10001883","De Montfort University","1,790","1,435","0","3,225"
"10007851","University of Derby","1,595","1,080","10","2,680"
"10007852","The University of Dundee","1,885","1,395","0","3,280"
"10007143","University of Durham","2,630","2,150","0","4,780"
"10007789","The University of East Anglia","2,205","1,750","0","3,955"
"10007144","The University of East London","850","750","5","1,600"
"10032282","The Queen's Foundation for Ecumenical Theological Education*","","","",""
"10007823","Edge Hill University","1,235","695","0","1,930"
"10007772","Edinburgh Napier University","925","770","5","1,700"
"10007790","The University of Edinburgh","8,310","7,185","10","15,510"
"10007791","The University of Essex","1,620","1,280","0","2,905"
"10008173","University College of Estate Management*","","","",""
"10007792","The University of Exeter","3,475","2,840","10","6,325"
"10008640","Falmouth University*","","","",""
"10004511","The National Film and Television School*","","","",""
"10022087","Futureworks*","","","",""
"10007762","Glasgow Caledonian University","960","595","0","1,560"
"10002681","Glasgow School of Art","305","240","0","545"
"10007794","The University of Glasgow","5,050","4,235","0","9,280"
"10007145","University of Gloucestershire*","","","",""
"10007833","Glyndŵr University","300","195","0","495"
"10002718","Goldsmiths College","1,105","880","10","1,990"
"10007146","The University of Greenwich","1,055","810","0","1,865"
"10007825","Guildhall School of Music and Drama","425","500","0","925"
"10040812","Harper Adams University*","","","",""
"10080811","Hartpury University","270","175","0","450"
"10007764","Heriot-Watt University","1,055","1,220","0","2,275"
"10007147","University of Hertfordshire","1,875","1,485","0","3,360"
"10007148","The University of Huddersfield*","","","",""
"10007149","The University of Hull","1,135","865","5","2,005"
"10003239","ICON College of Technology and Management*","","","",""
"10003270","Imperial College London","4,000","4,580","20","8,600"
"10013220","Institute of Art - London Limited*","","","",""
"10035638","Institute of Contemporary Music Performance*","","","",""
"10082570","Kaplan International Colleges U.K. Limited*","","","",""
"10021682","Kaplan Open Learning*","","","",""
"10007767","Keele University","1,245","775","5","2,020"
"10007150","The University of Kent","1,810","1,445","10","3,270"
"10003645","King's College London","4,970","3,930","255","9,155"
"10003678","Kingston University","1,050","750","10","1,805"
"10003758","LAMDA Limited","80","50","0","130"
"10007768","The University of Lancaster","2,130","1,910","0","4,040"
"10003854","Leeds Arts University","100","85","0","190"
"10003861","Leeds Beckett University","1,395","1,185","5","2,585"
"10034449","Leeds Conservatoire","140","235","0","370"
"10007795","The University of Leeds","4,660","3,900","20","8,585"
"10003863","Leeds Trinity University","290","205","0","495"
"10007796","The University of Leicester","2,015","1,790","5","3,810"
"10007151","The University of Lincoln","1,290","1,085","0","2,375"
"10003956","Liverpool Hope University*","","","",""
"10003957","Liverpool John Moores University*","","","",""
"10003945","The Liverpool Institute for Performing Arts*","","","",""
"10006842","The University of Liverpool","3,525","2,890","0","6,415"
"10003958","Liverpool School of Tropical Medicine","350","210","0","560"
"10007162","University of the Arts, London","2,285","1,570","0","3,855"
