﻿Title:,"Chart 6 - Academic staff by academic cost centre and sex"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,OC025 Chart 6
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/chart-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/chart-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Cost centre group,Biological, mathematical & physical sciences 
,Academic year,2015/16 


"Cost centre","Female","Male"
"111 Earth, marine & environmental sciences","1,315","2,435"
"112 Biosciences","6,095","7,550"
"113 Chemistry","1,175","3,050"
"114 Physics","960","4,225"
"122 Mathematics","1,065","3,590"
