﻿Title:,"Table 2 - HE staff by HE provider and personal characteristics"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT025 Table 2
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (excluding atypical) 
,Terms of employment,All 
,Contract levels,All 
,Atypical marker,Non-atypical 
,Academic year,2017/18 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total"
"10007783","The University of Aberdeen","1,855","1,395","0","3,250"
"10007849","Abertay University","275","240","0","515"
"10007856","Aberystwyth University","1,030","950","0","1,980"
"10000163","AECC University College","95","55","0","145"
"10000291","Anglia Ruskin University","1,185","765","0","1,950"
"10007759","Aston University","850","835","0","1,685"
"10007857","Bangor University","1,200","855","0","2,060"
"10000571","Bath Spa University","705","535","0","1,240"
"10007850","The University of Bath","1,730","1,780","0","3,510"
"10007152","University of Bedfordshire","770","455","0","1,225"
"10005343","Queen's University Belfast","2,105","1,805","0","3,905"
"10007760","Birkbeck College","975","880","0","1,855"
"10007140","Birmingham City University","1,655","1,500","0","3,155"
"10006840","The University of Birmingham","4,275","3,800","0","8,075"
"10000712","University College Birmingham","380","225","0","605"
"10007811","Bishop Grosseteste University","230","110","0","340"
"10006841","The University of Bolton","345","310","0","655"
"10000385","The Arts University Bournemouth","300","255","0","555"
"10000824","Bournemouth University","1,035","860","5","1,895"
"10007785","The University of Bradford","920","710","0","1,630"
"10000886","The University of Brighton","1,905","1,400","5","3,310"
"10000936","The University College of Osteopathy","60","85","0","145"
"10007786","The University of Bristol","3,685","3,065","0","6,750"
"10000961","Brunel University London","1,105","1,130","0","2,235"
"10000975","Buckinghamshire New University","415","305","0","720"
"10007787","The University of Buckingham","235","165","0","400"
"10007788","The University of Cambridge","5,930","5,830","10","11,775"
"10003324","The Institute of Cancer Research","630","455","0","1,085"
"10001143","Canterbury Christ Church University","1,130","715","0","1,850"
"10007814","Cardiff University","3,780","3,290","0","7,070"
"10007854","Cardiff Metropolitan University","810","570","0","1,380"
"10007141","The University of Central Lancashire","1,610","1,230","0","2,840"
"10007848","University of Chester","1,045","640","10","1,695"
"10007137","The University of Chichester","570","420","0","985"
"10001478","City, University of London","1,540","1,680","0","3,220"
"10001653","Conservatoire for Dance and Drama","345","240","0","585"
"10007761","Courtauld Institute of Art","95","45","0","135"
"10001726","Coventry University","2,350","2,010","0","4,360"
"10007822","Cranfield University","725","880","0","1,600"
"10006427","University for the Creative Arts","505","315","0","820"
