﻿Title:,"Table 2 - HE staff by HE provider and personal characteristics"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT025 Table 2
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (excluding atypical) 
,Terms of employment,All 
,Contract levels,All 
,Atypical marker,Non-atypical 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total"
"10001143","Canterbury Christ Church University","1,075","655","0","1,730"
"10007814","Cardiff University","3,745","3,060","0","6,805"
"10007854","Cardiff Metropolitan University","815","580","0","1,395"
"10007141","The University of Central Lancashire","1,870","1,330","0","3,200"
"10007848","University of Chester","1,110","680","10","1,805"
"10007137","The University of Chichester","515","405","0","920"
"10001478","City, University of London","1,685","1,700","0","3,385"
"10001653","Conservatoire for Dance and Drama","360","250","0","615"
"10007761","Courtauld Institute of Art","105","35","0","140"
"10001726","Coventry University","2,510","2,100","5","4,615"
"10007822","Cranfield University","690","840","0","1,530"
"10006427","University for the Creative Arts","515","325","0","840"
"10007842","University of Cumbria","685","355","0","1,035"
"10001883","De Montfort University","1,640","1,405","0","3,040"
"10007851","University of Derby","1,695","1,185","0","2,880"
"10007852","The University of Dundee","1,880","1,370","0","3,250"
"10007143","University of Durham","2,385","1,975","0","4,360"
"10007789","The University of East Anglia","2,255","1,775","0","4,035"
"10007144","The University of East London","820","670","0","1,490"
"10007823","Edge Hill University","1,340","725","0","2,060"
"10007772","Edinburgh Napier University","945","800","0","1,750"
"10007790","The University of Edinburgh","7,640","6,765","0","14,410"
"10007791","The University of Essex","1,600","1,240","5","2,845"
"10007792","The University of Exeter","2,995","2,555","5","5,555"
"10008640","Falmouth University","275","255","0","525"
"10004511","The National Film and Television School","60","65","0","125"
"10007762","Glasgow Caledonian University","955","575","0","1,530"
"10002681","Glasgow School of Art","300","230","0","530"
"10007794","The University of Glasgow","4,410","3,605","0","8,015"
"10007145","University of Gloucestershire","725","540","0","1,265"
"10007833","Glyndŵr University","305","175","0","480"
"10002718","Goldsmiths College","1,065","880","5","1,950"
"10007146","The University of Greenwich","1,160","1,005","0","2,170"
"10007825","Guildhall School of Music and Drama","410","485","0","895"
"10040812","Harper Adams University","355","230","0","585"
"10080811","Hartpury University","240","155","0","395"
"10007764","Heriot-Watt University","930","1,020","0","1,950"
"10007147","University of Hertfordshire","1,955","1,475","0","3,430"
"10007148","The University of Huddersfield","1,160","905","5","2,070"
"10007149","The University of Hull","1,405","1,055","0","2,460"
"10003270","Imperial College London","3,870","4,585","10","8,460"
"10007767","Keele University","1,245","785","0","2,030"
"10007150","The University of Kent","2,010","1,580","0","3,590"
"10003645","King's College London","4,820","3,890","0","8,710"
"10003678","Kingston University","1,100","810","0","1,910"
"10007768","The University of Lancaster","2,145","1,900","0","4,045"
"10003854","Leeds Arts University","165","115","0","285"
"10003861","Leeds Beckett University","1,570","1,320","0","2,890"
"10034449","Leeds Conservatoire","120","210","0","330"
"10007795","The University of Leeds","4,560","3,880","0","8,440"
"10003863","Leeds Trinity University","275","170","0","445"
"10007796","The University of Leicester","2,050","1,860","0","3,910"
"10007151","The University of Lincoln","1,170","1,010","0","2,180"
"10003956","Liverpool Hope University","410","290","0","700"
"10003957","Liverpool John Moores University","1,555","1,385","5","2,945"
"10003945","The Liverpool Institute for Performing Arts","95","95","0","190"
"10006842","The University of Liverpool","3,515","2,855","0","6,365"
"10003958","Liverpool School of Tropical Medicine","330","210","0","540"
"10007162","University of the Arts, London","2,135","1,580","0","3,710"
"10007769","London Business School","500","325","0","825"
"10007797","University of London (Institutes and activities)","580","410","0","995"
"10004048","London Metropolitan University","440","445","0","885"
"10004078","London South Bank University","1,070","890","0","1,960"
"10004063","London School of Economics and Political Science","2,040","2,200","0","4,240"
"10007771","London School of Hygiene and Tropical Medicine","970","605","0","1,570"
"10004113","Loughborough University","1,925","1,840","0","3,765"
"10004180","The Manchester Metropolitan University","2,635","2,175","0","4,810"
"10007798","The University of Manchester","5,490","5,435","0","10,925"
"10004351","Middlesex University","1,055","805","0","1,860"
"10007799","Newcastle University","3,370","2,920","0","6,290"
"10007832","Newman University","190","125","0","320"
"10007138","The University of Northampton","875","560","0","1,440"
"10001282","University of Northumbria at Newcastle","1,600","1,315","0","2,915"
"10004775","Norwich University of the Arts","185","170","0","355"
"10007154","University of Nottingham","4,220","3,695","0","7,915"
"10004797","The Nottingham Trent University","2,515","1,935","5","4,455"
"10007773","The Open University","5,100","3,320","0","8,415"
"10004930","Oxford Brookes University","1,495","1,075","0","2,570"
"10007774","The University of Oxford","7,220","6,805","10","14,030"
"10005127","Arts University Plymouth","180","110","0","290"
"10007801","University of Plymouth","1,660","1,155","0","2,815"
"10007155","The University of Portsmouth","2,205","1,760","0","3,965"
"10005337","Queen Margaret University, Edinburgh","315","170","0","485"
"10007775","Queen Mary University of London","2,840","2,740","0","5,580"
"10005389","Ravensbourne University London","185","195","0","380"
"10007802","The University of Reading","2,405","1,785","0","4,195"
"10005500","Robert Gordon University","930","600","0","1,530"
"10007776","Roehampton University","690","450","5","1,145"
"10005523","Rose Bruford College of Theatre and Performance","70","45","0","115"
"10007835","Royal Academy of Music","190","265","0","450"
"10005545","Royal Agricultural University","130","105","0","240"
"10007777","Royal College of Art","255","210","0","465"
"10007778","Royal College of Music","175","245","0","425"
"10005561","Royal Conservatoire of Scotland","275","250","0","530"
"10007816","The Royal Central School of Speech and Drama","110","70","0","180"
"10005553","Royal Holloway and Bedford New College","1,120","1,100","0","2,220"
"10007837","Royal Northern College of Music","235","270","0","500"
"10007779","The Royal Veterinary College","680","310","5","995"
"10007803","The University of St. Andrews","1,410","1,370","0","2,780"
"10007782","St George's, University of London","650","360","0","1,010"
"10008026","St Mary's University College","85","70","0","155"
"10007843","St Mary's University, Twickenham","475","325","0","800"
"10007156","The University of Salford","1,225","1,040","0","2,260"
"10007780","SOAS University of London","695","570","0","1,265"
"10005700","SRUC","670","490","0","1,160"
"10005790","Sheffield Hallam University","2,630","1,875","5","4,510"
"10007157","The University of Sheffield","3,770","3,695","10","7,470"
"10006022","Solent University","595","695","0","1,290"
"10007158","The University of Southampton","3,255","2,905","0","6,160"
"10006299","Staffordshire University","810","640","0","1,450"
"10007804","The University of Stirling","1,390","900","0","2,290"
"10037449","University of St Mark and St John","195","105","0","300"
"10008010","Stranmillis University College","120","65","0","185"
"10007805","The University of Strathclyde","1,975","1,875","0","3,850"
"10014001","University of Suffolk","315","175","0","490"
"10007159","The University of Sunderland","1,075","795","0","1,870"
"10007160","The University of Surrey","1,745","1,545","0","3,295"
"10007806","The University of Sussex","1,790","1,530","0","3,320"
"10007855","Swansea University","2,060","1,750","5","3,820"
"10007161","Teesside University","1,080","700","0","1,780"
"10008017","Trinity Laban Conservatoire of Music and Dance","305","310","0","615"
"10007858","University of Wales Trinity Saint David","870","645","0","1,515"
"10007114","University of the Highlands and Islands","210","120","0","330"
"10007807","Ulster University","1,460","1,150","0","2,610"
"10007784","University College London","6,910","6,165","0","13,075"
"10007793","University of South Wales","1,425","1,350","0","2,780"
"10008574","The University of Wales (central functions)","65","30","0","95"
"10007163","The University of Warwick","3,630","3,185","0","6,815"
"10007164","University of the West of England, Bristol","2,340","1,650","0","3,990"
"10007800","The University of the West of Scotland","835","560","0","1,400"
"10006566","The University of West London","780","740","0","1,520"
"10007165","The University of Westminster","1,315","1,160","0","2,475"
"10003614","The University of Winchester","735","510","0","1,245"
"10007166","The University of Wolverhampton","1,520","970","0","2,490"
"10007139","University of Worcester","1,935","1,005","5","2,945"
"10007657","Writtle University College","185","90","0","280"
"10007713","York St John University","510","355","0","865"
"10007167","The University of York","2,355","2,015","0","4,370"
"","Total","240,215","199,575","160","439,955"
