﻿Title:,"Table 2 - HE staff by HE provider and personal characteristics"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT025 Table 2
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (excluding atypical) 
,Terms of employment,All 
,Contract levels,All 
,Atypical marker,Non-atypical 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total"
"10007783","The University of Aberdeen","1,860","1,370","0","3,230"
"10007849","Abertay University","270","230","0","500"
"10007856","Aberystwyth University","990","945","0","1,935"
"10000163","AECC University College","100","60","0","160"
"10000291","Anglia Ruskin University","1,130","740","0","1,870"
"10007759","Aston University","925","900","0","1,825"
"10007857","Bangor University","1,215","840","0","2,050"
"10000571","Bath Spa University","730","545","5","1,280"
"10007850","The University of Bath","1,785","1,810","0","3,595"
"10007152","University of Bedfordshire","735","410","0","1,145"
"10005343","Queen's University Belfast","2,240","1,895","0","4,140"
"10007760","Birkbeck College","980","890","0","1,870"
"10007140","Birmingham City University","1,720","1,500","0","3,220"
"10006840","The University of Birmingham","4,420","3,980","0","8,400"
"10000712","University College Birmingham","400","230","0","630"
"10007811","Bishop Grosseteste University","235","115","0","350"
"10006841","The University of Bolton","350","300","0","650"
"10000385","The Arts University Bournemouth","320","250","0","570"
"10000824","Bournemouth University","1,030","835","5","1,865"
"10007785","The University of Bradford","825","640","0","1,465"
"10000886","The University of Brighton","1,920","1,380","5","3,305"
"10000936","The University College of Osteopathy","60","80","0","145"
"10007786","The University of Bristol","4,010","3,325","0","7,335"
"10000961","Brunel University London","1,170","1,130","0","2,300"
"10000975","Buckinghamshire New University","410","300","0","710"
"10007787","The University of Buckingham","265","175","0","445"
"10007788","The University of Cambridge","6,225","5,930","10","12,165"
"10003324","The Institute of Cancer Research","640","450","0","1,085"
