ProjectId,Program,Country,CountryFundingBody,FundingBody,LeadInstitution,StartDate,EndDate,FundingAmount,FundingCurrency
FIS/2016/126,Fisheries,Australia,,ACIAR,University of the Sunshine Coast,SEP 2017,JUN 2022,1270516,AUD
CSE/2017/015,Crops,Australia,,ACIAR,CSIRO,AUG 2017,JAN 2018,40250,AUD
LWR/2016/136,Water,Australia,,ACIAR,Murdoch University,AUG 2017,DEC 2022,2740752,AUD
CIM/2016/174,Crops,Australia,,ACIAR,The World Vegetable Center,JUL 2017,JUN 2021,1003408,AUD
FIS/2016/128,Fisheries,Australia,,ACIAR,Southern Cross University,JUL 2017,DEC 2019,467416,AUD
FIS/2016/135,Fisheries,Australia,,ACIAR,WorldFish Center,JUL 2017,MAR 2022,2599137,AUD
CIM/2016/219,Crops,Australia,,ACIAR,International Maize and Wheat Improvement Center,JUL 2017,JUN 2021,1500001,AUD
FST/2016/158,Forestry,Australia,,ACIAR,CSIRO,JUN 2017,JAN 2021,603024,AUD
HORT/2017/013,Horticulture,Australia,,ACIAR,"Applied Horticultural Research, Australia",JUN 2017,DEC 2017,106290,AUD
LWR/2016/137,Water,Australia,,ACIAR,Australian National University,JUN 2017,JUN 2023,4450000,AUD
GP/2017/007,Global,Australia,,ACIAR,Bioversity International,JUN 2017,MAY 2018,100000,AUD
LPS/2016/097,Livestock Systems,Australia,,ACIAR,International Center for Tropical Agriculture,JUN 2017,FEB 2020,250000,AUD
FST/2016/154,Forestry,Australia,,ACIAR,University of the Sunshine Coast,JUN 2017,JUN 2022,1564973,AUD
FST/2016/024,Forestry,Australia,,ACIAR,University of the Sunshine Coast,MAY 2017,JUN 2020,120000,AUD
HORT/2016/056,Horticulture,Australia,,ACIAR,University of Queensland,MAY 2017,NOV 2018,200000,AUD
HORT/2014/078,Horticulture,Australia,,ACIAR,"Department of Agriculture and Fisheries, Queensland",APR 2017,DEC 2022,2377344,AUD
FST/2016/141,Forestry,Australia,,ACIAR,World Agroforestry Centre,APR 2017,DEC 2021,2400003,AUD
FST/2016/152,Forestry,Australia,,ACIAR,World Agroforestry Centre,APR 2017,AUG 2021,2699996,AUD
HORT/2014/080,Horticulture,Australia,,ACIAR,Central Queensland University,APR 2017,JUL 2022,1325081,AUD
FST/2016/151,Forestry,Australia,,ACIAR,University of Melbourne,APR 2017,SEP 2022,3099839,AUD
LPS/2016/011,Livestock Systems,Australia,,ACIAR,University of Melbourne,APR 2017,JUN 2022,2923563,AUD
FST/2016/054,Forestry,Australia,,ACIAR,University of Western Australia,MAR 2017,NOV 2019,250000,AUD
FIS/2017/003,Fisheries,Australia,,ACIAR,WorldFish Center,MAR 2017,MAR 2018,249878,AUD
CIM/2016/039,Crops,Australia,,ACIAR,CSIRO,MAR 2017,DEC 2019,150000,AUD
CIM/2014/076,Crops,Australia,,ACIAR,University of Western Australia,MAR 2017,SEP 2022,2041925,AUD
LPS/2016/022,Livestock Systems,Australia,,ACIAR,CSIRO,MAR 2017,DEC 2018,180000,AUD
CSE/2015/044,Crops,Australia,,ACIAR,University of Sydney,FEB 2017,JUN 2022,2211683,AUD
FIS/2016/052,Fisheries,Australia,,ACIAR,CSIRO,FEB 2017,JUN 2018,210000,AUD
CIM/2016/046,Crops,Australia,,ACIAR,International Rice Research Institute,FEB 2017,DEC 2018,150000,AUD
SMCN/2014/049,Soil and Land Management,Australia,,ACIAR,University of Queensland,FEB 2017,DEC 2022,2047364,AUD
FST/2016/025,Forestry,Australia,,ACIAR,University of Adelaide,JAN 2017,DEC 2018,250000,AUD
GMCP/2017/001,Global,Australia,,ACIAR,University of New England,JAN 2017,JUN 2017,388630,AUD
LPS/2015/037,Livestock Systems,Australia,,ACIAR,University of Tasmania,JAN 2017,DEC 2022,1724210,AUD
FST/2015/039,Forestry,Australia,,ACIAR,CSIRO,JAN 2017,DEC 2020,5161214,AUD
FIS/2015/046,Fisheries,Australia,,ACIAR,WorldFish Center,JAN 2017,AUG 2021,2639788,AUD
LPS/2013/021,Livestock Systems,Australia,,ACIAR,University of Queensland,JAN 2017,JUN 2021,1800088,AUD
SMCN/2016/051,Soil and Land Management,Australia,,ACIAR,CSIRO,DEC 2016,APR 2018,130000,AUD
LPS/2016/096,Livestock Systems,Australia,,ACIAR,University of Melbourne,DEC 2016,NOV 2017,199612,AUD
HORT/2014/083,Horticulture,Australia,,ACIAR,Charles Sturt University,NOV 2016,AUG 2021,1898596,AUD
LPS/2016/021,Livestock Systems,Australia,,ACIAR,University of New England,NOV 2016,MAR 2019,265060,AUD
CIM/2015/041,Crops,Australia,,ACIAR,Charles Sturt University,NOV 2016,OCT 2022,2300953,AUD
LPS/2016/027,Livestock Systems,Australia,,ACIAR,University of New England,OCT 2016,OCT 2018,240000,AUD
SMCN/2014/048,Soil and Land Management,Australia,,ACIAR,University of Sydney,OCT 2016,APR 2021,1944433,AUD
CIM/2014/082,Crops,Australia,,ACIAR,University of Western Australia,OCT 2016,SEP 2022,4441118,AUD
LWR/2015/036,Water,Australia,,ACIAR,Charles Sturt University,OCT 2016,JUN 2021,2050005,AUD
LWR/2014/074,Water,Australia,,ACIAR,University of Canberra,OCT 2016,JUN 2021,2278150,AUD
GMCP/2016/044,Global,Australia,,ACIAR,Oikoi Pty Ltd (Agricultural Impact International Pty Ltd),SEP 2016,SEP 2017,302867,AUD
GMCP/2016/042,Global,Australia,,ACIAR,Collins Higgins Consulting Group,SEP 2016,SEP 2017,169380,AUD
ADP/2014/045,Water,Australia,,ACIAR,University of South Australia,SEP 2016,JUN 2020,1309715,AUD
SMCN/2016/017,Soil and Land Management,Australia,,ACIAR,Griffith University,AUG 2016,JUN 2017,70000,AUD
SMCN/2016/014,Soil and Land Management,Australia,,ACIAR,CSIRO,AUG 2016,JUN 2017,120000,AUD
FIS/2015/038,Fisheries,Australia,,ACIAR,University of the Sunshine Coast,AUG 2016,JAN 2021,1600000,AUD
CIM/2014/081,Crops,Australia,,ACIAR,University of Sydney,AUG 2016,JUN 2022,1744779,AUD
CIM/2016/034,Crops,Australia,,ACIAR,International Maize and Wheat Improvement Center,JUL 2016,JUN 2017,135000,AUD
GMCP/2016/004,Global,Australia,,ACIAR,Collins Higgins Consulting Group,JUN 2016,SEP 2017,182390,AUD
FIS/2016/005,Fisheries,Australia,,ACIAR,James Cook University,MAY 2016,JUN 2017,150000,AUD
FST/2015/040,Forestry,Australia,,ACIAR,University of the Sunshine Coast,APR 2016,JUN 2021,1341754,AUD
SMCN/2014/075,Soil and Land Management,Australia,,ACIAR,CSIRO,APR 2016,JUN 2021,1946748,AUD
LPS/2014/036,Livestock Systems,Australia,,ACIAR,CSIRO,APR 2016,JUL 2020,1350153,AUD
HORT/2014/096,Horticulture,Australia,,ACIAR,La Trobe University,MAR 2016,FEB 2021,4997865,AUD
SMCN/2012/075,Soil and Land Management,Australia,,ACIAR,University of Adelaide,MAR 2016,MAR 2024,3142140,AUD
FIS/2014/061,Fisheries,Australia,,ACIAR,University of the Sunshine Coast,MAR 2016,MAR 2021,1741604,AUD
LWR/2014/072,Water,Australia,,ACIAR,CSIRO,MAR 2016,JUN 2021,2689141,AUD
HORT/2014/097,Horticulture,Australia,,ACIAR,Central Queensland University,MAR 2016,AUG 2021,4999835,AUD
SMCN/2012/105,Soil and Land Management,Australia,,ACIAR,University of Queensland,FEB 2016,APR 2023,2999970,AUD
HORT/2014/094,Horticulture,Australia,,ACIAR,University of Sydney,FEB 2016,DEC 2022,5994997,AUD
LPS/2014/038,Livestock Systems,Australia,,ACIAR,University of Queensland,FEB 2016,JUN 2022,2999216,AUD
SMCN/2014/044,Soil and Land Management,Australia,,ACIAR,University of Melbourne,JAN 2016,JUN 2020,2000001,AUD
CIM/2014/079,Crops,Australia,,ACIAR,The World Vegetable Center,JAN 2016,DEC 2020,2508983,AUD
HORT/2014/077,Horticulture,Australia,,ACIAR,University of the Sunshine Coast,JAN 2016,DEC 2020,2300001,AUD
FIS/2014/041,Fisheries,Australia,,ACIAR,Charles Sturt University,JAN 2016,JUN 2021,2646017,AUD
SMCN/2014/088,Soil and Land Management,Australia,,ACIAR,University of Southern Queensland,DEC 2015,JUN 2020,1600593,AUD
LWR/2014/073,Water,Australia,,ACIAR,CSIRO,NOV 2015,OCT 2024,5106588,AUD
