ProjectId,Program,Country,CountryFundingBody,FundingBody,LeadInstitution,StartDate,EndDate,FundingAmount,FundingCurrency
LPS/2010/010,Livestock Systems,Australia,,ACIAR,International Livestock Research Institute,SEP 2012,DEC 2015,1372153,AUD
HORT/2012/011,Horticulture,Australia,,ACIAR,CSIRO,AUG 2012,JUN 2017,869386,AUD
LWR/2010/081,Water,Australia,,ACIAR,International Water Management Institute,AUG 2012,JUL 2016,2190914,AUD
LWR/2008/047,Water,Australia,,ACIAR,"International Center for Agricultural Research in the Dry Areas, Afghanistan",JUL 2012,OCT 2018,5135514,AUD
CSE/2010/022,Crops,Australia,,ACIAR,International Livestock Research Institute,JUN 2012,NOV 2017,4485831,AUD
FSC/2012/024,Global,Australia,,ACIAR,International Maize and Wheat Improvement Center,JUN 2012,JUL 2016,3229872,AUD
LPS/2010/047,Livestock Systems,Australia,,ACIAR,International Livestock Research Institute,JUN 2012,SEP 2017,1972866,AUD
FIS/2009/059,Fisheries,Australia,,ACIAR,CSIRO,JUN 2012,DEC 2017,1583561,AUD
FIS/2012/037,Fisheries,Australia,,ACIAR,University of the Sunshine Coast,JUN 2012,MAY 2013,146000,AUD
FST/2010/012,Forestry,Australia,,ACIAR,University of Melbourne,JUN 2012,DEC 2016,2277778,AUD
LPS/2009/036,Livestock Systems,Australia,,ACIAR,University of Queensland,JUN 2012,DEC 2015,1576538,AUD
LWR/2010/080,Water,Australia,,ACIAR,Murdoch University,JUN 2012,SEP 2017,2176970,AUD
FIS/2010/054,Fisheries,Australia,,ACIAR,James Cook University,MAY 2012,SEP 2016,1823408,AUD
FST/2010/013,Forestry,Australia,,ACIAR,University of the Sunshine Coast,MAY 2012,APR 2016,483050,AUD
FIS/2011/073,Fisheries,Australia,,ACIAR,"Department of Primary Industries, Australia",MAY 2012,OCT 2012,95000,AUD
LWR/2011/074,Water,Australia,,ACIAR,International Water Management Institute,MAY 2012,FEB 2013,149998,AUD
HORT/2010/089,Horticulture,Australia,,ACIAR,"Department of Primary Industries, Australia",APR 2012,DEC 2017,1192861,AUD
FIS/2011/069,Fisheries,Australia,,ACIAR,,APR 2012,MAR 2016,140000,AUD
FIS/2011/072,Fisheries,Australia,,ACIAR,"Department of Primary Industries, Australia",APR 2012,MAY 2013,150000,AUD
SMCN/2009/056,Soil and Land Management,Australia,,ACIAR,Queensland Department of Primary Industries,APR 2012,JAN 2019,1505371,AUD
FIS/2011/013,Fisheries,Australia,,ACIAR,"Network of Aquaculture Centres in Asia Pacific, Thailand",MAR 2012,JUN 2017,942973,AUD
FIS/2011/049,Fisheries,Australia,,ACIAR,Secretariat of the Pacific Community,MAR 2012,FEB 2014,99810,AUD
FST/2012/010,Forestry,Australia,,ACIAR,Southern Cross University,MAR 2012,DEC 2012,49400,AUD
AH/2010/046,Livestock Systems,Australia,,ACIAR,University of New England,MAR 2012,AUG 2016,1661018,AUD
FIS/2010/058,Fisheries,Australia,,ACIAR,WorldFish Center,DEC 2011,FEB 2016,1210026,AUD
FIS/2011/030,Fisheries,Australia,,ACIAR,Australian Bureau for Agricultural and Resource Economics,DEC 2011,JUN 2013,128400,AUD
HORT/2010/090,Horticulture,Australia,,ACIAR,University of Queensland,NOV 2011,DEC 2017,3515808,AUD
FST/2008/039,Forestry,Australia,,ACIAR,Queensland Department of Primary Industries,NOV 2011,JUN 2016,1101028,AUD
FST/2010/034,Forestry,Australia,,ACIAR,World Agroforestry Centre,NOV 2011,OCT 2016,1748855,AUD
LWR/2010/015,Water,Australia,,ACIAR,Western Sydney University,SEP 2011,JUN 2017,1184684,AUD
LPS/2008/048,Livestock Systems,Australia,,ACIAR,Charles Sturt University,JUL 2011,JUN 2017,1331528,AUD
ASEM/2009/023,Horticulture,Australia,,ACIAR,University of Queensland,JUN 2011,JUN 2016,607450,AUD
FST/2009/016,Forestry,Australia,,ACIAR,Australian National University,MAY 2011,AUG 2016,1079149,AUD
SMCN/2009/031,Soil and Land Management,Australia,,ACIAR,CSIRO,MAY 2011,JUN 2017,2180573,AUD
SMCN/2009/003,Soil and Land Management,Australia,,ACIAR,Secretariat of the Pacific Community,APR 2011,SEP 2015,1538066,AUD
LPS/2008/049,Livestock Systems,Australia,,ACIAR,University of Tasmania,APR 2011,SEP 2015,1244175,AUD
HORT/2010/011,Horticulture,Australia,,ACIAR,La Trobe University,APR 2011,JUN 2016,2016193,AUD
LPS/2008/054,Livestock Systems,Australia,,ACIAR,University of Queensland,APR 2011,JUN 2016,1716706,AUD
HORT/2007/118,Horticulture,Australia,,ACIAR,Secretariat of the Pacific Community,MAR 2011,SEP 2016,699810,AUD
CIM/2009/049,Crops,Australia,,ACIAR,University of Western Australia,FEB 2011,SEP 2016,26470478,AUD
FIS/2010/017,Fisheries,Australia,,ACIAR,James Cook University,JAN 2011,JUN 2014,92295,AUD
CIM/2009/038,Crops,Australia,,ACIAR,University of Western Australia,JAN 2011,SEP 2016,2037785,AUD
LPS/2010/007,Livestock Systems,Australia,,ACIAR,Charles Sturt University,JAN 2011,DEC 2015,2051013,AUD
LPS/2010/028,Livestock Systems,Australia,,ACIAR,,JAN 2011,DEC 2012,519542,AUD
HORT/2010/006,Horticulture,Australia,,ACIAR,Queensland Department of Primary Industries,DEC 2010,SEP 2015,1426467,AUD
FIS/2009/041,Fisheries,Australia,,ACIAR,Industry & Investment NSW,OCT 2010,SEP 2015,1837834,AUD
CIM/2010/014,Crops,Australia,,ACIAR,University of Adelaide,AUG 2010,MAR 2011,63086,AUD
HORT/2008/011,Horticulture,Australia,,ACIAR,University of Queensland,JUL 2010,DEC 2014,1470776,AUD
HORT/2006/107,Horticulture,Australia,,ACIAR,"Department of Primary Industries, Australia",JUN 2010,AUG 2013,1089150,AUD
FIS/2008/023,Fisheries,Australia,,ACIAR,University of New South Wales,APR 2010,JUN 2016,1700010,AUD
CSE/2009/024,Crops,Australia,,ACIAR,International Maize and Wheat Improvement Center,JAN 2010,JUN 2014,21649935,AUD
SMCN/2009/013,Soil and Land Management,Australia,,ACIAR,,JAN 2010,JUN 2014,895000,AUD
SMCN/2008/008,Soil and Land Management,Australia,,ACIAR,Tasmanian Institute of Agricultural Research,JAN 2010,JUN 2015,2105863,AUD
CSE/2009/004,Crops,Australia,,ACIAR,Charles Sturt University,DEC 2009,OCT 2015,5872069,AUD
HORT/2008/040,Horticulture,Australia,,ACIAR,Bioversity International,JUL 2009,MAR 2014,1198093,AUD
FST/2008/007,Forestry,Australia,,ACIAR,University of Tasmania,JUN 2009,MAY 2015,1175704,AUD
CIM/2007/084,Crops,Australia,,ACIAR,CSIRO,JUN 2009,OCT 2015,1230001,AUD
FIS/2006/141,Fisheries,Australia,,ACIAR,CSIRO,JUN 2009,MAY 2014,1521714,AUD
FIS/2008/043,Fisheries,Australia,,ACIAR,Industry & Investment NSW,JAN 2009,DEC 2010,20000,AUD
SMCN/2007/109,Soil and Land Management,Australia,,ACIAR,"Department of Agriculture and Food, Western Australia",JAN 2009,DEC 2012,5868478,AUD
FST/2006/117,Forestry,Australia,,ACIAR,University of Melbourne,JAN 2009,DEC 2014,1097209,AUD
HORT/2006/146,Horticulture,Australia,,ACIAR,"Department of Agriculture and Food, Western Australia",NOV 2008,DEC 2014,1607218,AUD
CIM/2007/120,Crops,Australia,,ACIAR,International Crops Research Institute for the Semi Arid Tropics,JUL 2008,JUN 2018,1596315,AUD
CIM/2007/122,Crops,Australia,,ACIAR,International Rice Research Institute,JUL 2008,DEC 2013,1832254,AUD
FIS/2006/140,Fisheries,Australia,,ACIAR,South Australian Research and Development Institute,JUN 2008,MAY 2010,166137,AUD
CIM/2005/111,Crops,Australia,,ACIAR,CSIRO,JUN 2008,SEP 2013,871689,AUD
AH/2006/159,Livestock Systems,Australia,,ACIAR,University of Sydney,JUN 2008,DEC 2012,620380,AUD
HORT/2007/066,Horticulture,Australia,,ACIAR,NSW Department of Primary Industries,MAY 2008,DEC 2012,4364766,AUD
HORT/2007/067,Horticulture,Australia,,ACIAR,Queensland Department of Primary Industries,MAY 2008,DEC 2012,3421881,AUD
AH/2006/157,Livestock Systems,Australia,,ACIAR,,MAY 2008,JUN 2013,812044,AUD
FIS/2006/137,Fisheries,Australia,,ACIAR,Murdoch University,APR 2008,FEB 2010,149867,AUD
SMCN/2007/215,Soil and Land Management,Australia,,ACIAR,World Vision Australia,MAR 2008,DEC 2012,659975,AUD
AH/2006/156,Livestock Systems,Australia,,ACIAR,University of Sydney,JAN 2008,DEC 2013,1055392,AUD
LWR/2006/076,Water,Australia,,ACIAR,Ministry of Agriculture,NOV 2007,FEB 2008,750000,AUD
FST/2006/118,Forestry,Australia,,ACIAR,James Cook University,JUL 2007,SEP 2007,84475,AUD
AH/2005/086,Livestock Systems,Australia,,ACIAR,University of Sydney,JUN 2007,DEC 2012,964513,AUD
FST/2004/061,Forestry,Australia,,ACIAR,University of Melbourne,MAY 2007,MAR 2011,783318,AUD
SMCN/2006/031,Soil and Land Management,Australia,,ACIAR,James Cook University,APR 2007,APR 2008,100316,AUD
SMCN/2004/067,Soil and Land Management,Australia,,ACIAR,University of Queensland,APR 2007,DEC 2013,1166273,AUD
AH/2006/163,Livestock Systems,Australia,,ACIAR,Murdoch University,JAN 2007,JUN 2007,111975,AUD
CIM/2005/152,Crops,Australia,,ACIAR,Industry & Investment NSW,MAY 2006,JUN 2009,99796,AUD
PLIA/2005/159,Horticulture,Australia,,ACIAR,University of Queensland,MAR 2006,MAY 2006,108455,AUD
FST/2003/049,Forestry,Australia,,ACIAR,Australian National University,APR 2005,AUG 2008,149989,AUD
FIS/2001/058,Fisheries,Australia,,ACIAR,CSIRO,JAN 2005,JUN 2009,1123117,AUD
FIS/2000/065,Fisheries,Australia,,ACIAR,Queensland University of Technology,JUL 2004,JUN 2008,390521,AUD
