﻿Title:,"Table 2 - HE staff by HE provider and personal characteristics"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT025 Table 2
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (excluding atypical) 
,Terms of employment,All 
,Contract levels,All 
,Atypical marker,Non-atypical 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total"
"10007783","The University of Aberdeen","1,980","1,570","0","3,545"
"10007849","Abertay University","305","245","0","545"
"10007856","Aberystwyth University","1,105","1,120","0","2,220"
"10000291","Anglia Ruskin University","1,175","760","0","1,935"
"10007759","Aston University","830","785","0","1,615"
"10007857","Bangor University","1,315","915","0","2,230"
"10000571","Bath Spa University","605","440","0","1,045"
"10007850","The University of Bath","1,510","1,635","0","3,145"
"10007152","University of Bedfordshire","850","505","0","1,350"
"10005343","Queen's University Belfast","1,970","1,770","0","3,740"
"10007760","Birkbeck College","800","750","0","1,550"
"10007140","Birmingham City University","1,390","1,295","0","2,685"
"10006840","The University of Birmingham","3,750","3,450","0","7,200"
"10000712","University College Birmingham","365","220","0","585"
"10007811","Bishop Grosseteste University","165","85","0","255"
"10006841","The University of Bolton","305","305","0","610"
"10000385","The Arts University Bournemouth","255","215","0","470"
"10000824","Bournemouth University","965","745","0","1,710"
"10007785","The University of Bradford","1,055","815","0","1,870"
"10000886","The University of Brighton","1,950","1,475","0","3,425"
"10007786","The University of Bristol","3,240","2,780","0","6,020"
"10000961","Brunel University London","1,120","1,185","0","2,305"
"10000975","Buckinghamshire New University","485","360","0","845"
"10007787","The University of Buckingham","225","170","0","395"
"10007788","The University of Cambridge","5,255","5,470","0","10,725"
"10003324","The Institute of Cancer Research","585","425","0","1,010"
"10001143","Canterbury Christ Church University","1,055","670","0","1,730"
"10007814","Cardiff University","3,595","3,030","0","6,625"
"10007854","Cardiff Metropolitan University","855","620","0","1,475"
"10007141","The University of Central Lancashire","1,575","1,125","0","2,705"
"10007848","University of Chester","1,015","620","0","1,635"
"10007137","The University of Chichester","500","370","0","870"
"10001478","City, University of London","1,335","1,460","0","2,790"
"10001653","Conservatoire for Dance and Drama","310","205","0","515"
"10007761","Courtauld Institute of Art","80","40","0","120"
"10001726","Coventry University","1,885","1,575","0","3,460"
"10007822","Cranfield University","695","870","0","1,565"
"10006427","University for the Creative Arts","465","315","0","780"
"10007842","University of Cumbria","745","355","0","1,100"
"10001883","De Montfort University","1,350","1,200","0","2,550"
"10007851","University of Derby","1,625","1,130","0","2,755"
"10007852","The University of Dundee","1,845","1,435","0","3,280"
"10007143","University of Durham","2,410","2,020","0","4,425"
"10007789","The University of East Anglia","2,030","1,505","0","3,535"
"10007144","The University of East London","900","765","0","1,660"
"10007823","Edge Hill University","1,220","645","0","1,865"
"10007772","Edinburgh Napier University","935","795","0","1,735"
"10007790","The University of Edinburgh","5,050","4,655","0","9,705"
"10007791","The University of Essex","1,370","1,065","0","2,435"
"10007792","The University of Exeter","2,350","2,020","0","4,370"
"10008640","Falmouth University","285","215","0","500"
"10004511","The National Film and Television School","30","50","0","80"
"10007762","Glasgow Caledonian University","1,020","590","0","1,610"
"10002681","Glasgow School of Art","225","220","0","445"
"10007794","The University of Glasgow","3,790","2,970","0","6,760"
"10007145","University of Gloucestershire","735","565","0","1,300"
"10007833","Glyndŵr University","340","295","0","635"
"10002718","Goldsmiths College","950","730","0","1,680"
"10007146","The University of Greenwich","1,160","1,020","0","2,180"
"10007825","Guildhall School of Music and Drama","295","385","0","680"
"10040812","Harper Adams University","325","200","0","525"
"10007764","Heriot-Watt University","905","995","0","1,900"
"10007147","University of Hertfordshire","1,660","1,340","0","2,995"
"10007765","Heythrop College","55","75","0","130"
"10007148","The University of Huddersfield","1,020","820","0","1,840"
"10007149","The University of Hull","1,390","1,055","0","2,445"
"10003270","Imperial College of Science, Technology and Medicine","3,550","4,590","0","8,135"
"10007766","Institute of Education","605","300","0","905"
"10007767","Keele University","1,255","820","0","2,075"
"10007150","The University of Kent","2,330","2,010","0","4,340"
"10003645","King's College London","3,940","3,315","0","7,250"
"10003678","Kingston University","1,110","830","0","1,945"
"10007768","The University of Lancaster","1,760","1,615","0","3,375"
"10003854","Leeds Arts University","150","115","0","265"
"10003861","Leeds Beckett University","1,600","1,335","0","2,930"
"10007795","The University of Leeds","3,960","3,445","0","7,405"
"10003863","Leeds Trinity University","270","150","0","415"
"10007796","The University of Leicester","2,060","1,805","0","3,865"
"10007151","The University of Lincoln","875","775","0","1,655"
"10003956","Liverpool Hope University","405","285","0","685"
"10003957","Liverpool John Moores University","1,405","1,225","0","2,635"
"10003945","The Liverpool Institute for Performing Arts","80","70","0","150"
"10006842","The University of Liverpool","2,975","2,650","0","5,625"
"10003958","Liverpool School of Tropical Medicine","155","125","0","285"
"10007162","University of the Arts, London","1,900","1,485","0","3,385"
"10007769","London Business School","485","265","0","750"
"10007797","University of London (Institutes and activities)","450","370","0","820"
"10004048","London Metropolitan University","670","695","0","1,365"
"10004078","London South Bank University","860","855","0","1,715"
"10004063","London School of Economics and Political Science","1,625","1,675","0","3,300"
"10007771","London School of Hygiene and Tropical Medicine","835","490","0","1,325"
"10004113","Loughborough University","1,845","1,795","0","3,645"
"10004180","The Manchester Metropolitan University","2,405","1,905","0","4,310"
"10007798","The University of Manchester","5,000","5,260","0","10,260"
"10004351","Middlesex University","1,030","805","0","1,840"
"10007799","Newcastle University","3,205","2,760","0","5,970"
"10007832","Newman University","185","125","0","310"
"10007138","The University of Northampton","805","510","0","1,315"
"10001282","University of Northumbria at Newcastle","1,700","1,385","0","3,085"
"10004775","Norwich University of the Arts","140","135","0","280"
"10007154","University of Nottingham","3,930","3,545","0","7,470"
"10004797","The Nottingham Trent University","1,975","1,560","0","3,535"
"10007773","The Open University","5,765","3,830","0","9,595"
"10004930","Oxford Brookes University","1,470","1,020","0","2,490"
"10007774","The University of Oxford","6,375","6,220","0","12,595"
"10005127","Arts University Plymouth","145","100","0","245"
"10007801","University of Plymouth","1,605","1,220","0","2,820"
"10007155","The University of Portsmouth","2,060","1,665","0","3,725"
"10005337","Queen Margaret University, Edinburgh","325","150","0","475"
"10007775","Queen Mary University of London","2,115","2,040","0","4,155"
"10005389","Ravensbourne University London","120","160","0","285"
"10007802","The University of Reading","2,125","1,655","0","3,780"
"10005500","Robert Gordon University","945","645","0","1,590"
"10007776","Roehampton University","615","390","0","1,005"
"10005523","Rose Bruford College of Theatre and Performance","75","55","0","130"
"10007835","Royal Academy of Music","165","230","0","395"
"10005545","Royal Agricultural University","120","105","0","230"
"10007777","Royal College of Art","200","205","0","400"
"10007778","Royal College of Music","160","250","0","410"
"10005561","Royal Conservatoire of Scotland","205","220","0","425"
"10007816","The Royal Central School of Speech and Drama","95","70","0","170"
"10005553","Royal Holloway and Bedford New College","1,630","1,290","0","2,920"
"10007837","Royal Northern College of Music","225","255","0","480"
"10007779","The Royal Veterinary College","540","290","0","830"
"10007803","The University of St. Andrews","1,250","1,280","0","2,530"
"10007782","St George's, University of London","590","355","0","945"
"10008026","St Mary's University College","80","80","0","160"
"10007843","St Mary's University, Twickenham","465","320","0","785"
"10007156","The University of Salford","1,260","1,210","0","2,470"
"10007780","SOAS University of London","650","580","0","1,230"
"10005700","SRUC","630","545","0","1,175"
"10005790","Sheffield Hallam University","2,640","1,890","0","4,530"
"10007157","The University of Sheffield","3,500","3,325","0","6,825"
"10006022","Solent University","690","750","0","1,440"
"10007158","The University of Southampton","3,205","2,995","0","6,200"
"10006299","Staffordshire University","1,015","815","0","1,830"
"10007804","The University of Stirling","1,260","830","0","2,090"
"10037449","University of St Mark and St John","225","125","0","350"
"10008010","Stranmillis University College","115","80","0","195"
"10007805","The University of Strathclyde","1,695","1,670","0","3,360"
"10014001","University of Suffolk","255","145","0","400"
"10007159","The University of Sunderland","1,125","810","0","1,940"
"10007160","The University of Surrey","1,515","1,385","0","2,900"
"10007806","The University of Sussex","1,435","1,350","0","2,785"
"10007855","Swansea University","1,550","1,355","0","2,905"
"10007161","Teesside University","1,100","705","0","1,805"
"10008017","Trinity Laban Conservatoire of Music and Dance","245","255","0","500"
"10007858","University of Wales Trinity Saint David","885","670","0","1,555"
"10007114","University of the Highlands and Islands","125","95","0","225"
"10007807","Ulster University","1,505","1,285","0","2,790"
"10007784","University College London","5,570","5,505","0","11,075"
"10007793","University of South Wales","1,815","1,635","0","3,450"
"10008574","The University of Wales (central functions)","90","45","0","130"
"10007163","The University of Warwick","3,145","2,940","0","6,085"
"10007164","University of the West of England, Bristol","2,005","1,470","0","3,475"
"10007800","The University of the West of Scotland","875","630","0","1,505"
"10006566","The University of West London","705","615","0","1,320"
"10007165","The University of Westminster","1,305","1,145","0","2,450"
"10003614","The University of Winchester","675","435","0","1,110"
"10007166","The University of Wolverhampton","1,410","970","0","2,380"
"10007139","University of Worcester","1,160","625","0","1,790"
"10007657","Writtle University College","205","115","0","320"
