﻿Title:,"Table 2 - HE staff by HE provider and personal characteristics"
Subtitle:,"Academic years 2014/15 to 2021/22"
Reference ID:,DT025 Table 2
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-2.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2023
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (excluding atypical) 
,Terms of employment,All 
,Contract levels,All 
,Atypical marker,Non-atypical 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Female","Male","Other","Total"
"10007783","The University of Aberdeen","1,890","1,455","0","3,345"
"10007849","Abertay University","280","235","0","515"
"10007856","Aberystwyth University","1,115","1,095","0","2,210"
"10000291","Anglia Ruskin University","1,205","765","0","1,970"
"10007759","Aston University","820","790","0","1,605"
"10007857","Bangor University","1,285","920","0","2,205"
"10000571","Bath Spa University","660","490","0","1,150"
"10007850","The University of Bath","1,635","1,735","0","3,370"
"10007152","University of Bedfordshire","775","440","0","1,215"
"10005343","Queen's University Belfast","1,945","1,730","0","3,675"
"10007760","Birkbeck College","940","845","0","1,790"
"10007140","Birmingham City University","1,630","1,460","0","3,095"
"10006840","The University of Birmingham","3,985","3,540","0","7,530"
"10000712","University College Birmingham","395","230","0","625"
"10007811","Bishop Grosseteste University","195","110","0","300"
"10006841","The University of Bolton","340","310","0","650"
"10000385","The Arts University Bournemouth","290","235","0","525"
"10000824","Bournemouth University","1,005","820","0","1,830"
"10007785","The University of Bradford","955","725","0","1,680"
"10000886","The University of Brighton","1,960","1,500","0","3,460"
"10000936","The University College of Osteopathy","65","80","0","140"
"10007786","The University of Bristol","3,535","2,925","0","6,460"
"10000961","Brunel University London","1,145","1,160","0","2,305"
"10000975","Buckinghamshire New University","460","345","0","805"
"10007787","The University of Buckingham","240","180","0","425"
"10007788","The University of Cambridge","5,660","5,720","0","11,380"
"10003324","The Institute of Cancer Research","605","445","0","1,050"
"10001143","Canterbury Christ Church University","1,150","730","0","1,880"
"10007814","Cardiff University","3,710","3,145","0","6,855"
"10007854","Cardiff Metropolitan University","885","650","0","1,535"
"10007141","The University of Central Lancashire","1,525","1,155","0","2,680"
"10007848","University of Chester","1,040","650","0","1,690"
"10007137","The University of Chichester","525","410","0","935"
"10001478","City, University of London","1,490","1,675","0","3,165"
"10001653","Conservatoire for Dance and Drama","335","220","0","555"
"10007761","Courtauld Institute of Art","95","45","0","135"
"10001726","Coventry University","2,205","1,835","0","4,045"
"10007822","Cranfield University","740","885","0","1,625"
"10006427","University for the Creative Arts","495","325","0","820"
"10007842","University of Cumbria","755","380","0","1,135"
"10001883","De Montfort University","1,525","1,300","0","2,825"
"10007851","University of Derby","1,625","1,185","0","2,810"
"10007852","The University of Dundee","1,820","1,355","0","3,175"
"10007143","University of Durham","2,465","2,040","0","4,505"
"10007789","The University of East Anglia","2,165","1,625","0","3,795"
"10007144","The University of East London","935","770","0","1,705"
"10007823","Edge Hill University","1,285","695","0","1,980"
"10007772","Edinburgh Napier University","925","820","0","1,745"
"10007790","The University of Edinburgh","5,425","4,885","0","10,310"
"10007791","The University of Essex","1,440","1,100","0","2,540"
"10007792","The University of Exeter","2,440","2,110","0","4,550"
"10008640","Falmouth University","275","245","0","520"
"10004511","The National Film and Television School","40","60","0","100"
"10007762","Glasgow Caledonian University","1,020","615","0","1,635"
"10002681","Glasgow School of Art","265","200","0","470"
"10007794","The University of Glasgow","4,150","3,445","0","7,595"
"10007145","University of Gloucestershire","725","575","0","1,300"
"10007833","Glyndŵr University","310","210","0","515"
"10002718","Goldsmiths College","945","770","0","1,710"
"10007146","The University of Greenwich","1,175","995","0","2,170"
"10007825","Guildhall School of Music and Drama","335","455","0","790"
"10040812","Harper Adams University","320","220","0","535"
"10007764","Heriot-Watt University","965","1,035","0","2,000"
"10007147","University of Hertfordshire","1,805","1,390","0","3,200"
"10007765","Heythrop College","45","60","0","105"
"10007148","The University of Huddersfield","1,100","895","0","1,995"
"10007149","The University of Hull","1,350","1,065","0","2,415"
"10003270","Imperial College of Science, Technology and Medicine","3,715","4,635","0","8,350"
"10007767","Keele University","1,290","795","0","2,085"
"10007150","The University of Kent","1,880","1,560","0","3,440"
"10003645","King's College London","4,375","3,600","0","7,975"
"10003678","Kingston University","1,230","940","0","2,170"
"10007768","The University of Lancaster","1,925","1,725","0","3,655"
"10003854","Leeds Arts University","150","110","0","265"
"10003861","Leeds Beckett University","1,635","1,400","0","3,035"
"10007795","The University of Leeds","4,225","3,630","0","7,850"
"10003863","Leeds Trinity University","295","170","0","465"
"10007796","The University of Leicester","2,090","1,820","0","3,910"
"10007151","The University of Lincoln","1,025","960","0","1,980"
"10003956","Liverpool Hope University","425","285","0","715"
"10003957","Liverpool John Moores University","1,460","1,310","0","2,770"
"10003945","The Liverpool Institute for Performing Arts","85","90","0","175"
"10006842","The University of Liverpool","3,300","2,825","0","6,125"
"10003958","Liverpool School of Tropical Medicine","270","170","0","445"
"10007162","University of the Arts, London","2,575","2,025","0","4,600"
"10007769","London Business School","485","295","0","780"
"10007797","University of London (Institutes and activities)","520","400","0","920"
"10004048","London Metropolitan University","490","520","0","1,015"
"10004078","London South Bank University","1,090","900","0","1,995"
"10004063","London School of Economics and Political Science","1,900","1,785","0","3,685"
"10007771","London School of Hygiene and Tropical Medicine","890","535","0","1,425"
"10004113","Loughborough University","1,840","1,830","0","3,665"
"10004180","The Manchester Metropolitan University","2,555","2,055","0","4,610"
"10007798","The University of Manchester","5,315","5,385","0","10,695"
"10004351","Middlesex University","1,075","850","0","1,930"
"10007799","Newcastle University","3,285","2,830","0","6,115"
"10007832","Newman University","205","140","0","345"
"10007138","The University of Northampton","790","530","0","1,320"
"10001282","University of Northumbria at Newcastle","1,485","1,240","0","2,730"
"10004775","Norwich University of the Arts","165","165","0","330"
"10007154","University of Nottingham","4,105","3,625","0","7,735"
"10004797","The Nottingham Trent University","2,185","1,765","0","3,950"
"10007773","The Open University","5,275","3,465","0","8,740"
"10004930","Oxford Brookes University","1,545","1,075","0","2,620"
"10007774","The University of Oxford","6,765","6,430","0","13,195"
"10005127","Arts University Plymouth","170","105","0","275"
"10007801","University of Plymouth","1,670","1,245","0","2,915"
"10007155","The University of Portsmouth","2,220","1,820","0","4,040"
"10005337","Queen Margaret University, Edinburgh","305","165","0","465"
"10007775","Queen Mary University of London","2,385","2,195","0","4,580"
"10005389","Ravensbourne University London","175","175","0","350"
"10007802","The University of Reading","2,250","1,800","0","4,050"
"10005500","Robert Gordon University","900","590","0","1,485"
"10007776","Roehampton University","915","525","0","1,435"
"10005523","Rose Bruford College of Theatre and Performance","85","50","0","130"
"10007835","Royal Academy of Music","170","250","0","420"
"10005545","Royal Agricultural University","115","110","0","225"
"10007777","Royal College of Art","200","200","0","395"
"10007778","Royal College of Music","180","240","0","420"
"10005561","Royal Conservatoire of Scotland","270","275","0","545"
"10007816","The Royal Central School of Speech and Drama","105","65","0","170"
"10005553","Royal Holloway and Bedford New College","1,145","1,020","0","2,170"
"10007837","Royal Northern College of Music","230","265","0","495"
"10007779","The Royal Veterinary College","620","300","0","920"
"10007803","The University of St. Andrews","1,320","1,295","0","2,615"
"10007782","St George's, University of London","545","330","0","875"
"10008026","St Mary's University College","75","75","0","150"
"10007843","St Mary's University, Twickenham","550","390","0","940"
"10007156","The University of Salford","1,170","1,055","0","2,220"
"10007780","SOAS University of London","665","540","0","1,205"
"10005700","SRUC","655","535","0","1,190"
"10005790","Sheffield Hallam University","2,535","1,815","0","4,350"
"10007157","The University of Sheffield","3,755","3,550","0","7,300"
"10006022","Solent University","715","800","0","1,515"
"10007158","The University of Southampton","3,450","3,090","0","6,535"
"10006299","Staffordshire University","860","735","0","1,595"
"10007804","The University of Stirling","1,195","800","0","1,995"
"10037449","University of St Mark and St John","225","115","0","340"
"10008010","Stranmillis University College","115","75","0","190"
"10007805","The University of Strathclyde","1,810","1,790","0","3,600"
"10014001","University of Suffolk","275","165","0","440"
"10007159","The University of Sunderland","1,010","740","0","1,750"
"10007160","The University of Surrey","1,635","1,430","0","3,070"
"10007806","The University of Sussex","1,650","1,445","0","3,090"
"10007855","Swansea University","1,705","1,445","0","3,150"
"10007161","Teesside University","1,090","695","0","1,785"
"10008017","Trinity Laban Conservatoire of Music and Dance","280","260","0","540"
"10007858","University of Wales Trinity Saint David","905","680","0","1,590"
"10007114","University of the Highlands and Islands","135","90","0","225"
"10007807","Ulster University","1,275","1,090","0","2,370"
"10007784","University College London","6,475","5,965","0","12,435"
"10007793","University of South Wales","1,525","1,390","0","2,915"
"10008574","The University of Wales (central functions)","80","40","0","120"
"10007163","The University of Warwick","3,450","3,190","0","6,640"
"10007164","University of the West of England, Bristol","2,090","1,550","0","3,640"
"10007800","The University of the West of Scotland","855","590","0","1,445"
"10006566","The University of West London","680","630","0","1,310"
"10007165","The University of Westminster","1,570","1,320","0","2,895"
"10003614","The University of Winchester","755","490","0","1,245"
"10007166","The University of Wolverhampton","1,490","975","0","2,465"
"10007139","University of Worcester","1,455","790","0","2,245"
"10007657","Writtle University College","220","105","0","325"
"10007713","York St John University","460","295","0","755"
"10007167","The University of York","2,090","1,900","0","3,995"
"","Total","227,670","192,040","0","419,710"
